INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_ALTITUDE
63.4,601.0
66.4,832.0
66.2,579.0
69.5,1110.0
0.0,0.0
71.1,592.0
71.9,714.0
74.1,386.0
74.0,708.0
75.5,423.0
75.6,1032.0
77.7,469.0
78.2,623.0
79.1,896.0
0.0,0.0
83.1,549.0
81.2,1080.0
83.1,873.0
83.5,967.0
86.1,729.0
88.3,611.0
87.0,888.0
89.6,690.0
86.9,1109.0
89.1,953.0
89.6,996.0
88.2,1330.0
0.0,0.0
88.6,1461.0
0.0,0.0
85.0,2073.0
97.6,863.0
89.0,1711.0
0.0,0.0
100.4,853.0
110.0,424.0
0.0,0.0
120.5,236.0
118.4,320.0
103.3,995.0
0.0,0.0
108.2,831.0
120.3,433.0
104.8,1167.0
135.1,192.0
108.7,1005.0
0.0,0.0
119.3,620.0
122.6,543.0
115.3,899.0
110.4,1173.0
106.7,1370.0
98.4,1976.0
106.4,1472.0
0.0,0.0
113.9,1141.0
116.8,1068.0
106.1,1642.0
115.5,1150.0
128.3,663.0
112.0,1397.0
0.0,0.0
0.0,0.0
0.0,0.0
116.2,1248.0
125.4,857.0
115.7,1323.0
128.9,787.0
119.2,1223.0
121.5,1104.0
124.0,989.0
127.1,866.0
0.0,0.0
116.6,1409.0
112.9,1653.0
151.5,176.0
129.9,740.0
134.4,566.0
119.8,1236.0
100.5,4789.0
115.3,1530.0
110.8,1876.0
138.7,343.0
118.2,1324.0
120.3,1175.0
131.4,541.0
124.0,905.0
119.7,1167.0
118.9,1205.0
123.2,873.0
111.7,1803.0
122.4,851.0
124.9,629.0
122.4,756.0
116.8,1190.0
112.4,1612.0
114.6,1328.0
114.6,1275.0
119.4,667.0
119.3,571.0
112.1,1411.0
108.9,1857.0
109.2,1761.0
113.1,968.0
111.8,1070.0
111.7,950.0
106.4,2122.0
111.4,437.0
109.0,1049.0
106.5,1768.0
105.8,1872.0
105.3,1973.0
105.8,1241.0
105.1,1191.0
103.6,564.0
103.6,1152.0
102.2,804.0
102.7,1635.0
100.8,959.0
98.3,607.0
97.9,731.0
96.7,691.0
96.6,841.0
93.1,525.0
93.1,639.0
93.1,760.0
96.3,1372.0
91.1,759.0
93.1,1109.0
86.7,563.0
86.9,668.0
90.8,1131.0
91.1,1251.0
88.4,1050.0
82.8,665.0
84.8,888.0
83.1,835.0
78.6,596.0
87.4,1329.0
79.5,782.0
79.2,827.0
82.5,1115.0
73.0,598.0
74.3,720.0
73.6,733.0
67.5,483.0
73.3,799.0
70.2,693.0
66.4,576.0
74.8,1038.0
72.4,949.0
67.2,742.0
66.3,750.0
64.6,689.0
53.9,370.0
76.7,1410.0
59.6,615.0
54.7,491.0
56.6,582.0
65.1,951.0
48.7,421.0
49.2,419.0
54.8,611.0
58.7,780.0
55.0,709.0
40.1,318.0
38.5,307.0
46.1,492.0
53.9,754.0
36.0,318.0
39.2,393.0
44.3,545.0
44.6,528.0
56.6,958.0
49.6,713.0
49.0,708.0
41.8,508.0
46.7,658.0
35.7,383.0
33.4,342.0
17.0,151.0
34.2,329.0
36.9,386.0
38.2,417.0
47.5,699.0
52.3,891.0
51.1,836.0
46.8,636.0
38.4,354.0
36.8,299.0
46.8,604.0
59.9,1257.0
42.8,417.0
53.2,847.0
46.2,495.0
54.4,873.0
43.6,326.0
45.9,382.0
52.1,651.0
48.0,389.0
50.7,483.0
49.2,342.0
53.1,520.0
51.2,327.0
65.7,1408.0
62.7,1001.0
58.1,427.0
61.8,732.0
61.9,623.0
65.6,1031.0
65.4,875.0
65.8,797.0
65.7,582.0
68.0,883.0
67.6,442.0
68.9,525.0
70.1,572.0
71.3,718.0
72.6,1019.0
73.3,684.0
74.3,993.0
75.1,986.0
76.4,728.0
77.1,860.0
77.6,1068.0
78.8,929.0
78.6,1368.0
80.1,1099.0
79.6,1517.0
81.2,1230.0
82.2,1182.0
81.7,1473.0
85.5,922.0
86.0,975.0
118.9,867.0
114.6,1139.0
141.5,333.0
129.9,653.0
0.0,0.0
128.4,772.0
112.4,1522.0
130.0,735.0
129.7,777.0
142.9,407.0
133.1,686.0
113.0,1634.0
135.4,602.0
119.7,1288.0
116.2,1504.0
117.9,1413.0
116.1,1534.0
127.1,923.0
0.0,0.0
119.6,1321.0
120.2,1270.0
127.4,826.0
110.3,2050.0
121.1,1167.0
119.2,1280.0
113.4,1748.0
115.4,1562.0
125.6,745.0
131.6,330.0
115.7,1384.0
0.0,0.0
124.2,364.0
118.7,836.0
108.7,2017.0
110.9,1579.0
114.1,909.0
108.5,1892.0
110.9,1263.0
105.8,2408.0
111.2,782.0
108.2,1283.0
107.6,970.0
105.4,1872.0
105.5,967.0
104.2,700.0
104.0,1355.0
102.7,917.0
102.9,1591.0
99.9,672.0
97.0,393.0
98.7,752.0
0.0,0.0
98.0,1083.0
97.9,1259.0
96.9,1212.0
99.4,1950.0
95.7,1267.0
98.0,1864.0
95.7,1522.0
95.4,1595.0
100.6,2829.0
96.9,2054.0
91.8,1376.0
86.0,855.0
88.9,1215.0
88.7,1287.0
92.6,1817.0
87.4,1311.0
81.8,893.0
88.0,1498.0
82.3,1072.0
72.5,530.0
81.3,1121.0
73.9,717.0
71.7,659.0
77.4,1019.0
68.9,612.0
75.1,987.0
78.2,1245.0
66.3,641.0
70.2,875.0
57.6,412.0
67.3,829.0
74.2,1243.0
78.1,1482.0
58.9,550.0
66.9,923.0
60.4,682.0
64.6,898.0
70.7,1252.0
68.4,1169.0
66.6,1080.0
54.2,605.0
68.9,1248.0
58.3,817.0
66.5,1250.0
65.0,1181.0
65.0,1181.0
67.9,1373.0
39.7,368.0
45.0,514.0
40.8,433.0
38.5,400.0
40.2,439.0
39.6,440.0
37.5,407.0
45.9,639.0
42.2,545.0
37.5,439.0
45.8,674.0
30.6,288.0
48.7,768.0
36.8,417.0
43.9,618.0
56.9,1151.0
51.9,925.0
57.7,1208.0
66.5,1740.0
80.2,2937.0
47.6,731.0
44.6,608.0
45.1,618.0
49.3,781.0
45.9,625.0
51.4,854.0
42.5,452.0
41.5,392.0
48.4,649.0
52.5,837.0
49.3,636.0
43.9,343.0
0.0,0.0
52.3,641.0
54.7,756.0
54.8,707.0
55.2,675.0
54.7,568.0
57.1,689.0
58.2,716.0
62.4,1071.0
65.9,1424.0
61.1,734.0
63.1,885.0
62.8,711.0
64.4,821.0
64.1,596.0
67.0,987.0
70.0,1494.0
68.1,800.0
69.4,934.0
69.8,708.0
71.3,981.0
72.8,1380.0
73.2,509.0
74.0,1151.0
74.8,1208.0
76.0,796.0
77.9,530.0
78.3,725.0
78.7,923.0
81.0,618.0
81.5,751.0
81.1,1048.0
83.1,835.0
0.0,0.0
84.7,893.0
85.0,1002.0
83.3,1458.0
83.5,1555.0
86.2,1235.0
84.7,1591.0
87.0,1346.0
89.2,1179.0
93.8,808.0
90.0,1281.0
92.5,1109.0
89.2,1558.0
95.2,1029.0
88.8,1773.0
96.3,1073.0
92.5,1484.0
90.1,1817.0
95.3,1377.0
96.5,1339.0
103.8,881.0
109.1,648.0
93.9,1737.0
94.5,1744.0
100.0,1350.0
103.5,1172.0
107.2,995.0
0.0,0.0
109.8,959.0
109.2,1007.0
106.1,1236.0
99.3,1755.0
104.7,1423.0
0.0,0.0
117.3,837.0
112.6,1103.0
104.2,1612.0
106.5,1508.0
114.6,1087.0
119.9,882.0
119.3,945.0
117.1,1082.0
111.7,1397.0
140.1,1644.0
121.2,959.0
107.4,1742.0
119.6,1092.0
114.3,1393.0
125.2,903.0
114.6,1438.0
116.2,1411.0
124.3,1036.0
123.3,1067.0
113.5,1663.0
106.9,2090.0
114.2,1621.0
106.9,2117.0
104.8,2325.0
109.3,1999.0
110.5,1936.0
122.7,1193.0
118.4,1449.0
125.0,1095.0
127.8,959.0
125.4,1077.0
119.8,1393.0
118.7,1472.0
124.1,1135.0
103.7,2773.0
112.8,1918.0
123.6,1137.0
118.7,1457.0
123.2,1131.0
119.4,1375.0
114.7,1749.0
119.2,1357.0
117.9,1441.0
124.3,910.0
112.4,1919.0
118.2,1327.0
116.6,1444.0
112.8,1812.0
123.3,716.0
111.1,1968.0
110.2,2064.0
107.1,2522.0
114.6,1360.0
108.5,2235.0
111.3,1712.0
114.5,1103.0
114.7,944.0
114.4,838.0
112.0,1164.0
111.0,1239.0
109.3,1508.0
109.3,1039.0
108.3,1137.0
103.4,3332.0
106.7,1179.0
105.5,1740.0
104.9,1732.0
104.4,1502.0
103.4,1114.0
103.0,1406.0
101.8,1131.0
99.8,789.0
96.2,412.0
99.1,1107.0
100.8,1896.0
96.0,859.0
99.5,1822.0
95.8,1136.0
96.7,1468.0
93.3,1031.0
95.4,1493.0
89.0,754.0
93.9,1476.0
86.9,757.0
88.4,999.0
90.1,1277.0
88.7,1217.0
89.1,1356.0
82.5,830.0
92.5,1930.0
87.8,1462.0
84.3,1205.0
85.6,1473.0
72.8,636.0
67.2,437.0
81.9,1359.0
77.3,1087.0
83.5,1621.0
70.2,784.0
66.5,658.0
75.0,1168.0
74.6,1195.0
66.8,823.0
58.3,522.0
65.5,853.0
55.6,515.0
65.5,947.0
52.8,501.0
54.5,592.0
64.1,1013.0
52.2,588.0
42.9,385.0
48.5,546.0
58.5,918.0
43.4,473.0
58.7,999.0
48.7,670.0
52.3,815.0
36.6,428.0
40.8,535.0
33.5,412.0
0.0,0.0
54.7,1049.0
42.4,656.0
24.1,347.0
26.2,377.0
31.0,454.0
40.4,668.0
0.0,0.0
34.8,556.0
18.6,343.0
22.1,372.0
29.9,480.0
23.8,382.0
35.1,581.0
22.4,355.0
36.3,546.0
31.0,395.0
30.9,371.0
33.2,394.0
34.0,382.0
38.9,498.0
0.0,0.0
48.8,859.0
44.4,600.0
41.9,439.0
45.3,544.0
48.8,679.0
50.7,740.0
0.0,0.0
48.2,424.0
52.5,557.0
53.6,552.0
54.4,495.0
62.8,1328.0
61.0,1008.0
60.5,817.0
61.2,758.0
61.1,378.0
0.0,0.0
65.3,588.0
0.0,0.0
67.9,637.0
71.5,859.0
73.8,821.0
74.6,1423.0
76.4,1284.0
80.3,503.0
82.3,769.0
85.5,665.0
83.6,1121.0
83.6,1293.0
0.0,0.0
85.7,1261.0
86.9,1232.0
87.8,1240.0
86.1,1612.0
89.0,1323.0
101.4,443.0
91.3,1279.0
99.6,670.0
95.8,1037.0
0.0,0.0
113.8,355.0
107.9,710.0
99.2,1333.0
85.8,2863.0
97.9,1582.0
99.3,1535.0
120.8,485.0
0.0,0.0
126.0,543.0
127.5,541.0
125.4,636.0
114.4,1113.0
126.2,726.0
112.2,1424.0
126.4,836.0
139.3,535.0
155.4,471.0
132.8,739.0
127.9,924.0
114.1,1583.0
129.2,944.0
131.5,929.0
122.7,1297.0
114.4,1753.0
144.8,657.0
116.9,1679.0
0.0,0.0
136.2,925.0
119.0,1656.0
113.2,2029.0
106.2,2560.0
114.8,1986.0
168.1,506.0
109.4,2419.0
129.6,1278.0
136.6,1026.0
119.7,1806.0
138.6,973.0
121.2,1750.0
116.8,2036.0
135.2,1097.0
124.9,1572.0
124.3,1608.0
124.0,1629.0
132.8,1183.0
123.3,1673.0
0.0,0.0
132.9,1141.0
141.7,770.0
124.1,1591.0
145.5,593.0
120.1,1833.0
111.9,2548.0
124.4,1472.0
109.8,2774.0
112.0,2516.0
118.3,1875.0
124.5,1313.0
124.3,1278.0
110.5,2644.0
115.2,2054.0
121.2,1363.0
126.8,754.0
123.7,945.0
118.8,1388.0
123.7,667.0
119.8,885.0
113.4,1768.0
107.9,2744.0
114.3,1334.0
110.7,1942.0
114.2,642.0
112.5,1027.0
108.8,1963.0
109.6,1433.0
109.2,985.0
108.0,1262.0
106.7,1406.0
105.3,800.0
0.0,0.0
102.7,784.0
103.6,1812.0
97.1,543.0
102.2,1888.0
100.2,1326.0
100.3,1691.0
96.0,914.0
98.0,1493.0
96.5,1380.0
95.2,1308.0
0.0,0.0
90.2,942.0
98.2,2520.0
88.1,972.0
83.8,742.0
87.2,1108.0
86.3,1124.0
82.4,905.0
79.9,825.0
0.0,0.0
76.0,752.0
83.5,1351.0
83.6,1445.0
75.5,935.0
67.2,676.0
76.3,1200.0
61.0,666.0
68.7,1018.0
59.4,742.0
79.2,1952.0
41.1,729.0
44.1,826.0
54.8,714.0
56.1,822.0
66.1,1005.0
67.8,760.0
73.0,854.0
73.5,1130.0
75.5,1397.0
77.4,1076.0
78.1,1232.0
81.0,905.0
81.8,1191.0
85.0,923.0
82.6,1483.0
82.1,1855.0
85.4,1361.0
90.2,944.0
95.3,737.0
92.0,1018.0
97.1,782.0
94.5,1028.0
93.7,1209.0
103.3,732.0
109.6,711.0
101.2,1017.0
101.3,1098.0
108.7,799.0
100.8,1304.0
100.8,1388.0
118.2,719.0
116.3,763.0
121.1,724.0
113.9,932.0
120.1,784.0
116.5,937.0
112.3,1178.0
105.7,1637.0
111.9,1324.0
114.9,1230.0
111.5,1520.0
113.6,1462.0
0.0,0.0
121.3,1203.0
137.8,794.0
133.4,902.0
135.9,878.0
123.8,1284.0
122.3,1391.0
138.8,906.0
112.9,1968.0
121.2,1567.0
0.0,0.0
118.4,1787.0
133.3,1204.0
134.8,1189.0
129.7,1392.0
124.7,1630.0
139.6,1131.0
138.2,1194.0
126.9,1625.0
121.0,1943.0
134.1,1393.0
123.0,1894.0
130.9,1560.0
132.8,1503.0
111.1,2728.0
127.4,1771.0
119.6,2213.0
130.8,1654.0
135.7,1467.0
162.0,889.0
134.0,1551.0
142.6,1250.0
0.0,0.0
0.0,0.0
126.5,1930.0
0.0,0.0
150.8,1002.0
129.7,1759.0
131.5,1659.0
132.4,1606.0
125.6,1972.0
139.5,1226.0
139.6,1193.0
143.8,1000.0
142.7,1001.0
143.7,918.0
121.9,2122.0
114.5,2745.0
126.2,1627.0
130.6,1238.0
125.3,1583.0
117.5,2281.0
125.4,1424.0
112.5,2812.0
125.2,1251.0
125.0,1147.0
120.8,1522.0
122.7,1116.0
117.3,1749.0
117.7,1547.0
110.6,2609.0
113.2,1908.0
114.2,1432.0
111.5,1913.0
111.8,917.0
111.2,1148.0
109.8,1462.0
107.8,2133.0
107.5,1315.0
106.1,2276.0
104.4,1549.0
0.0,0.0
102.2,1546.0
98.5,1023.0
101.1,1924.0
95.2,979.0
93.6,969.0
95.6,1525.0
89.1,960.0
85.6,883.0
81.2,870.0
84.2,1181.0
79.8,1154.0
69.8,1119.0
81.1,1966.0
60.0,973.0
35.3,968.0
36.6,1114.0
63.6,1217.0
86.9,1063.0
107.5,1251.0
103.3,1045.0
102.0,1203.0
106.3,1206.0
108.4,1242.0
119.8,1085.0
110.7,1268.0
111.0,1319.0
109.1,1561.0
117.4,1227.0
109.2,1772.0
117.0,1413.0
112.0,1733.0
118.5,1461.0
123.2,1322.0
127.2,1326.0
128.6,1364.0
146.2,1111.0
134.7,1303.0
133.2,1382.0
138.7,1299.0
133.2,1489.0
118.3,2191.0
123.2,1975.0
